(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		UseIcon (3596 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		ErrorIcon (832 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		ErrorIcon (832 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Model (835 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Model (168 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Model (4418 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Model (288 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		ErrorIcon (832 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		UseIcon (3596 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		ErrorIcon (832 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		UseIcon (3596 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
	Standard (396516 verts): 
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1141 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (306 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (254 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		GrabIcon (4666 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		GrabIcon (4666 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Credits (6612 verts)	-1	True	False	False	1	[MatCreditsText (UnityEngine.Material)] 	
		MorayGameJamLogoVox (2343 verts)	-1	True	False	False	1	[MatMorayGameJamLogo (UnityEngine.Material)] 	
		TransendentGamesLogoVox (5572 verts)	-1	True	False	False	1	[MatTranscendentGamesLogo (UnityEngine.Material)] 	
		CreditsBackGround (24 verts)	-1	True	False	False	1	[MatCreditsBackground (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1930 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1264 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (24 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2161 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3363 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (252 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1422 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (11066 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (252 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (655 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (848 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2195 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2733 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (254 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3040 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (254 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3040 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (9972 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3651 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2387 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3492 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1791 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1153 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (985 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6537 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1744 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1930 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (11829 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3087 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3048 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1099 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6537 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (11066 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1264 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6537 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (701 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (240 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1422 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2387 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3853 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1838 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (720 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6082 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2387 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3058 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (240 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (240 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1744 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (84 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (848 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (254 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (240 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1585 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (424 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6276 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (240 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (761 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (156 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (156 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		Cube (24 verts)	-1	True	False	False	1	[Default-Material (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (701 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (24 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (254 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		GrabIcon (4666 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		GrabIcon (4666 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		default (1851 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (155 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1264 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1688 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (24 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2090 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (4174 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2387 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (155 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1610 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1371 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1264 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (630 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1466 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (424 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (424 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (4292 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (306 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3040 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		GrabIcon (4666 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		GrabIcon (4666 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		default (1572 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1422 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (240 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (322 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (306 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1891 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (4170 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2005 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (156 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (156 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (155 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (156 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1397 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (306 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		GrabIcon (4666 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		GrabIcon (4666 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		default (155 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (68 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1264 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3363 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1264 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		GrabIcon (4666 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		default (2557 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		default (2387 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (254 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (306 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		GrabIcon (4666 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Terrain (27833 verts)	-1	True	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		default (1397 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2387 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (3490 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1791 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (4179 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1264 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (155 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6287 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (24 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (761 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1264 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (424 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (630 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (6151 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (1336 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (2855 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (424 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
		default (120 verts)	-1	True	False	False	1	[MatRoom (UnityEngine.Material)] 	
